"Sample"	"log_rte"	"l_utr3"
"Untr"	-3.29278174922785	2396
"Untr"	-5.30229424204893	1088
"Untr"	1.66322955751842	5535
"Untr"	-1.06159968815827	6277
"Untr"	-4.2153376638025	837
"Untr"	-3.66060755406405	3890
"Untr"	-0.910468778408432	643
"Untr"	-4.51321066707655	4471
"Untr"	-2.51315249813013	1907
"Untr"	-4.23562824554951	2800
"Untr"	-0.950756480980151	149
"Untr"	-3.35295498862539	552
"Untr"	-6.33539033007856	123
"Untr"	-7.5599274265743	196
"Untr"	-1.584962498163	2436
"Untr"	-3.77605878645174	322
"Untr"	-3.31201261846424	56
"Untr"	-3.03112989620921	731
"Untr"	-6.27293328355977	57
"Untr"	-3.62449086264924	651
"Untr"	-1.86856247694942	1579
"Untr"	-5.4190202152751	193
"Untr"	1.82781902461732	270
"Untr"	-3.56866068615366	81
"Untr"	-4.52949786728578	456
"Untr"	-0.19006653384062	1924
"Untr"	-3.93379846907204	605
"Untr"	-3.12810481942753	114
"Untr"	-3.90724414982168	1939
"Untr"	-0.198151554248941	3477
"Untr"	-2.52094600785	1639
"Untr"	-5.47112920342892	1223
"Untr"	-1.3187712093701	3350
"Untr"	-5.41461606934377	43
"Untr"	-3.87036471958341	1179
"Untr"	-7.57328068322588	221
"Untr"	-0.333614201088449	3866
"Untr"	-6.36340471895851	654
"Untr"	-5.97782075494504	603
"Untr"	-3.02704858967465	550
"Untr"	-2.90831126946214	1737
"Untr"	-6.96166769424813	146
"Untr"	-0.289764771448317	432
"Untr"	-4.4868442450418	3566
"Untr"	-2.27359684394011	810
"Untr"	-4.99239573081688	809
"Untr"	-3.01935047922245	208
"Untr"	-0.671377253038365	716
"Untr"	-3.11999976669467	68
"Untr"	-4.34988215645837	401
"Untr"	-1.64154602702132	384
"Untr"	-1.03057694503363	256
"Untr"	-7.15544659415093	499
"Untr"	-3.24100809895282	3796
"Untr"	-2.99066040316937	885
"Untr"	-4.68861427233674	112
"Untr"	-4.42581733716562	572
"Untr"	-4.37524883105504	2016
"Untr"	-0.736965594166206	4846
"Untr"	-2.44997645765251	2250
"Untr"	-5.636717164861	282
"Untr"	-1.75728557854581	225
"Untr"	-7.62233618052198	344
"Untr"	-1.79940616508367	631
"Untr"	-3.58712708298202	2423
"Untr"	-1.73858568983437	904
"Untr"	-6.14038895387628	409
"Untr"	-4.57496110695202	971
"Untr"	-2.49971521410265	242
"Untr"	-6.78820380209062	133
"Untr"	-6.29316504963866	102
"Untr"	-3.82813647940705	9136
"Untr"	-3.33221106692828	3787
"Untr"	-1.90689059560852	3012
"Untr"	-1.34706070546284	126
"Untr"	-6.03178647057083	688
"Untr"	-5.05365869302153	1127
"Untr"	-2.01546311738781	3806
"Untr"	-7.07150092950844	695
"Untr"	-3.1982537221132	596
"Untr"	-6.5981010437573	49
"Untr"	-2.56665062244422	1099
"Untr"	-2.61335862393771	4395
"Untr"	-2.36334219261539	380
"Untr"	-2.23338359724062	524
"Untr"	-5.278556670538	898
"Untr"	-7.76024523003612	215
"Untr"	-4.87327631384801	172
"Untr"	-0.717600267847347	31
"Untr"	-6.03462864991685	465
"Untr"	-4.9888017920928	8648
"Untr"	-5.37842297805059	1483
"Untr"	-1.59952479492405	2571
"Untr"	0.38083792589304	6351
"Untr"	-2.87374831005966	178
"Untr"	-3.76078262217876	3115
"Untr"	-5.20143279656121	894
"Untr"	-3.42582733624604	324
"Untr"	-5.92993538458783	67
"Untr"	-3.07644974046843	358
"Untr"	-1.49738097188786	2099
"Untr"	-3.84648761066926	1973
"Untr"	-1.34115820877136	244
"Untr"	-3.23831197642257	2941
"Untr"	-5.760329582701	1144
"Untr"	-6.46475323682156	53
"Untr"	-2.99589560166727	737
"Untr"	-5.88380696064795	47
"Untr"	-6.48611670185799	32
"Untr"	-1.63558857379112	2532
"Untr"	-5.26290051512207	163
"Untr"	-4.77746306711578	2007
"Untr"	-5.59459119231023	1453
"Untr"	-6.99330762490155	641
"Untr"	-4.2667865387414	2745
"Untr"	-0.023259901385346	222
"Untr"	-2.27483297293862	1986
"Untr"	-5.56520786769536	104
"Untr"	-5.37298204061566	157
"Untr"	-2.87587868817082	1198
"Untr"	-1.86434489912916	2065
"Untr"	-2.17908209245987	124
"Untr"	-0.423807706115855	99
"Untr"	-1.93002709440646	249
"Untr"	-4.24392558222286	307
"Untr"	-4.57202343533413	72
"Untr"	-4.0950710003299	578
"Untr"	-5.70640865362166	41
"Untr"	-3.72099713199944	198
"Untr"	-5.65212380268854	532
"Untr"	-0.951177521415327	823
"Untr"	0.174604522382178	3302
"Untr"	-3.03683676818038	265
"Untr"	-2.82366091972075	1781
"Untr"	-3.35708837864833	824
"Untr"	-7.47510171361038	103
"Untr"	-4.44181681742721	86
"Untr"	-3.20687183362302	406
"Untr"	-3.45419587405945	3091
"Untr"	-5.46270673673079	1663
"Untr"	-2.23882980823059	1007
"Untr"	-2.74046303840243	927
"Untr"	-1.81512761532093	8797
"Untr"	-3.26946067340149	275
"Untr"	-1.7080208971255	2671
"Untr"	-3.88494162277487	271
"Untr"	-3.19979979322778	1524
"Untr"	-8.52424030562078	664
"Untr"	-4.36900263606878	112
"Untr"	-3.87017303752096	492
"Untr"	-4.62486393992284	378
"Untr"	-4.972603430709	94
"Untr"	-3.69348695360647	323
"Untr"	-5.19492281738459	3456
"Untr"	-4.95765111561402	1240
"Untr"	-4.15754127513402	5706
"Untr"	-1.59278200518046	519
"Untr"	-0.381987526891785	592
"Untr"	-2.93761130723598	3289
"Untr"	-5.14316259932173	2536
"Untr"	-1.39816368071445	977
"Untr"	-6.1996723392269	324
"Untr"	-0.314433558340439	3309
"Untr"	-1.5895702818367	689
"Untr"	-2.00984778211911	198
"Untr"	-2.0424352663204	2702
"Untr"	-2.92706847635234	6383
"Untr"	-5.35373493731583	43
"Untr"	-4.81500849313924	197
"Untr"	-4.95640115344159	94
"Untr"	-1.96781959425086	2649
"Untr"	-1.9994982802798	867
"Untr"	-2.98541419707061	1184
"Untr"	-3.59283218262445	745
"Untr"	-4.49866264991148	1634
"Untr"	-1.77841603765971	2383
"Untr"	-5.51734019384713	801
"Untr"	-5.24917174980567	2213
"Untr"	-3.0157540694296	2254
"Untr"	-4.26872347606265	419
"Untr"	-2.68550143850801	589
"Untr"	1.18943393395117	244
"Untr"	-2.76166651530816	2379
"Untr"	-3.02658930847914	1705
"Untr"	-3.80596168675774	2790
"Untr"	-3.55474360989157	574
"Untr"	-3.09060254878091	2166
"Untr"	-6.37013150133175	666
"Untr"	-1.53963851021167	174
"Untr"	-7.00538044310053	75
"Untr"	-5.79463506712242	1833
"Untr"	-6.58193282586488	108
"Untr"	0.008644094409244	79
"Untr"	-3.85798098429779	594
"Untr"	-2.81655385890408	645
"Untr"	-1.48542682717024	274
"Untr"	-5.0108883133153	3430
"Untr"	-2.91959618405381	413
"Untr"	-5.36181255758393	844
"Untr"	-4.38748829704932	260
"Untr"	-1.74542717291441	1305
"Untr"	-9.61061789612932	172
"Untr"	-4.1241212941146	153
"Untr"	0.499862389454317	161
"Untr"	-4.34783949191543	152
"Untr"	-4.242822425991	492
"Untr"	-4.21997914275654	1787
"Untr"	-4.99076967394646	488
"Untr"	-3.42561690564505	247
"Untr"	-2.19124123239289	325
"Untr"	-2.26593235388546	3570
"Untr"	-4.86724986638089	840
"Untr"	-3.79340536048254	1822
"Untr"	-1.52598921474666	745
"Untr"	-0.183090771229147	62
"Untr"	-2.5267016626533	101
"Untr"	-1.80296315294045	196
"Untr"	-3.08866893311971	2715
"Untr"	-6.05640116654317	297
"Untr"	-5.37314883298452	632
"Untr"	-0.563308134849771	1289
"Untr"	-5.3070458948385	400
"Untr"	-6.71746780145032	125
"Untr"	-6.90594112288226	1201
"Untr"	0.31200125498207	3389
"Untr"	-2.8589105667067	665
"Untr"	-5.40953851344507	1184
"Untr"	-2	110
"Untr"	-3.10353760123137	551
"Untr"	-4.01974391537456	52
"Untr"	-5.61995791411864	671
"Untr"	-2.6826453978519	3590
"Untr"	-3.3950318074758	4715
"Untr"	-4.79024567675625	2286
"Untr"	-1.5227399856383	2066
"Untr"	-1.01870084502651	547
"Untr"	-3.60203600380983	443
"Untr"	-0.773996325111175	1209
"Untr"	0.368470682585747	410
"Untr"	-2.71721029640542	3273
"Untr"	-9.30513426479683	693
"Untr"	-1.52585898037627	137
"Untr"	-4.02348835062003	2538
"Untr"	-3.26600772175287	1648
"Untr"	-3.09275713816492	517
"Untr"	-5.05645464087518	104
"Untr"	-6.28416860265508	449
"Untr"	-3.78572490543686	352
"Untr"	-3.1970227643157	455
"Untr"	-5.12353903265143	490
"Untr"	-5.42796972891367	388
"Untr"	-4.04981779131348	12040
"Untr"	-2.64363336036514	1934
"Untr"	-2.10261506487927	2554
"Untr"	-8.2501643019652	501
"Untr"	-3.99319043911449	3137
"Untr"	-1.40785095808196	1192
"Untr"	1.54980605530754	1955
"Untr"	-4.98687687014852	149
"Untr"	-1.42733077547028	3969
"Untr"	-1.0350469470992	134
"Untr"	3.18762700317577	386
"Untr"	-5.51425563354807	4358
"Untr"	-5.98947176916115	236
"Untr"	-4.66160516038427	843
"Untr"	-5.08252679205496	174
"Untr"	-6.31831683634539	3918
"Untr"	-4.63935043454415	4307
"Untr"	-6.67173520918179	147
"Untr"	-2.34039869648445	669
"Untr"	-5.89391944016745	285
"Untr"	-1.13717228851926	676
"Untr"	-2.7340606977449	155
"Untr"	-4.03305247754555	518
"Untr"	-2.84382122941591	861
"Untr"	-1.72116688431947	1297
"Untr"	-4.4978105492647	562
"Untr"	-2.37715761560776	189
"Untr"	-4.57583148359689	2348
"Untr"	-4.2736816500333	287
"Untr"	-4.22731037994464	356
"Untr"	-7.91366827314675	83
"Untr"	-6.15243360112792	242
"Untr"	-6.11457524222496	684
"Untr"	-4.3449590620842	530
"Untr"	-1.47743403641671	226
"Untr"	-4.48081230536632	102
"Untr"	-5.40635686677406	1136
"Untr"	-1.31927851647341	18842
"Untr"	-2.23662540264984	98
"Untr"	-5.04135091049721	762
"Untr"	-4.66868431259052	370
"Untr"	-5.1187884080508	139
"Untr"	-2.92182374258504	314
"Untr"	-4.85951733207563	423
"Untr"	-12.7840797336276	1212
"Untr"	-5.78247117134469	151
"Untr"	-5.39819396110824	81
"Untr"	-2.98192539960897	772
"Untr"	-3.98393162850721	6266
"Untr"	-2.59767355247071	325
"Untr"	-5.4327871469125	407
"Untr"	-2.11439032447866	2818
"Untr"	-3.80245612264477	495
"Untr"	-6.88800878789273	1146
"Untr"	-3.20814821374176	2972
"Untr"	-2.65929761399382	225
"Untr"	-4.32928671034824	436
"Untr"	-3.45018581787967	2657
"Untr"	-4.05411654638626	812
"Untr"	-4.96333786508326	190
"Untr"	-1.03689958281153	378
"Untr"	-4.68501350450349	83
"Untr"	-2.92725839129421	653
"Untr"	-4.80735491403428	294
"Untr"	-2.59991284218713	142
"Untr"	-2.11283249419294	402
"Untr"	-5.45198680194972	3326
"Untr"	-6.24227698686413	5400
"Untr"	-5.50870227661399	11676
"Untr"	-5.4918530899627	265
"Untr"	-1.99412343147063	334
"Untr"	-2.71348799749703	212
"Untr"	-2.78925765576434	2043
"Untr"	-4.95345908489897	2628
"Untr"	-6.5962147682412	168
"Untr"	-3.87767225840114	427
"Untr"	-5.02718482502852	3645
"Untr"	-3.89795747083851	1978
"Untr"	-4.46814882894232	1642
"Untr"	-5.07681558674066	423
"Untr"	-4.99886678050732	445
"Untr"	-4.50040339422379	1195
"Untr"	-2.3769694571813	195
"Untr"	-2.78587519464715	719
"Untr"	-2.69211135838195	3604
"Untr"	-3.28954491949617	1874
"Untr"	1.52575072214124	85
"Untr"	-1.66815643624756	509
"Untr"	-3.62584555684757	2699
"Untr"	-2.00396345040735	2273
"Untr"	-1.45187426745922	291
"Untr"	-0.911920841623936	419
"Untr"	-2.48935058780005	1743
"Untr"	-1.54454822983337	1824
"Untr"	-5.52405191397502	417
"Untr"	-1.49701480144545	66
"Untr"	-8.17692108691841	54
"Untr"	-4.44786507031409	65
"Untr"	1.05955684468045	64
"Untr"	-4.68778301698772	448
"Untr"	-2.01060809818851	3295
"Untr"	-0.731511164074099	309
"Untr"	-2.06399155669325	1082
"Untr"	-7.30916229803914	120
"Untr"	-4.82349810487714	171
"Untr"	-3.10968989264316	983
"Untr"	-3.30485458036057	1673
"Untr"	-4.90106151492136	210
"Untr"	-3.49304001128012	1355
"Untr"	-5.99181873824173	192
"Untr"	-4.77006678304509	123
"Untr"	-5.71406230327914	10484
"Untr"	-1.70079198161272	79
"Untr"	-3.91341229728138	278
"Untr"	-5.82686446505186	1409
"Untr"	-0.392669686250389	962
"Untr"	-3.69451488020462	2416
"Untr"	-4.61232060351972	1215
"Untr"	-3.5446577887398	6464
"Untr"	-3.70988063857366	452
"Untr"	-6.01461607124375	285
"Untr"	-0.768329765075542	5424
"Untr"	-5.27014224324117	1348
"Untr"	-3.59703533142288	589
"Untr"	-3.26672743190373	323
"Untr"	-1.93454693681134	168
"Untr"	-1.72191407839248	3929
"Untr"	-4.08975465147925	3961
"Untr"	-1.51355552739783	880
"Untr"	-6.01968234675349	102
"Untr"	-2.75844534183025	2100
"Untr"	-1.31351585268355	4078
"Untr"	-8.22087617228119	251
"Untr"	-1.67528869668515	627
"Untr"	-4.66362704632885	2277
"Untr"	-6.19210748528549	938
"Untr"	-4.19501596573298	70
"Untr"	-1.25516616208076	315
"Untr"	-4.51248441848103	213
"Untr"	-7.15981766919386	2275
"Untr"	-1.44745897697122	213
"Untr"	-5.32898051206734	233
"Untr"	-2.80735492205761	1629
"Untr"	-7.92435959847985	2097
"Untr"	-4.44347832256139	2741
"Untr"	-4.99856347872102	989
"Untr"	-6.66402288842407	156
"Untr"	-8.46500975408428	211
"Untr"	-1.48799009878071	2832
"Untr"	-7.00247328384194	955
"Untr"	-3.54229188447513	1282
"Untr"	-5.89012237637515	342
"Untr"	-3.08774289464167	1103
"Untr"	-7.30223663354464	321
"Untr"	-6.88668282886157	413
"G418_500"	-1.72889229270457	2199
"G418_500"	0.129211494307474	4036
"G418_500"	-3.29482957787671	800
"G418_500"	-1.20249286389874	2325
"G418_500"	0.0311161243704297	2505
"G418_500"	-1.20067953782	395
"G418_500"	-3.73251967730335	99
"G418_500"	-1.65161723955642	793
"G418_500"	-0.977603249441266	3660
"G418_500"	-2.04477867550561	738
"G418_500"	-1.23081977962449	508
"G418_500"	-1.84347261909973	383
"G418_500"	-5.04764086927929	3347
"G418_500"	-2.33528647595021	1233
"G418_500"	-2.36495350365239	7444
"G418_500"	-1.16884876322455	253
"G418_500"	-1.20991842792803	541
"G418_500"	-2.40619701178497	2980
"G418_500"	-4.04219078678842	620
"G418_500"	0.0863095742019063	1625
"G418_500"	-4.55110967531347	211
"G418_500"	-2.58073791485943	494
"G418_500"	-4.51394685046243	439
"G418_500"	-1.82174601033084	372
"G418_500"	-3.16187010813599	375
"G418_500"	-1.80870134776513	1389
"G418_500"	-2.94969923842024	1113
"G418_500"	-2.67360352253352	759
"G418_500"	-0.038030407437817	105
"G418_500"	-3.49074715705845	700
"G418_500"	-1.0291305036603	1059
"G418_500"	-2.92923273315604	183
"G418_500"	-2.82059073551523	936
"G418_500"	-3.31139741310902	643
"G418_500"	-0.157356327939258	5522
"G418_500"	-1.79225580177402	80
"G418_500"	-1.53386450100175	333
"G418_500"	-4.34660443800259	8898
"G418_500"	-0.843495502745559	3002
"G418_500"	-3.84853452943067	415
"G418_500"	-2.61143471023044	3379
"G418_500"	-3.433014378605	196
"G418_500"	-4.06519701698373	360
"G418_500"	-1.63908081033272	1212
"G418_500"	-1.09143767979215	3113
"G418_500"	-0.556057733080793	1800
"G418_500"	-3.41677045329759	6181
"G418_500"	-3.48958245666155	3106
"G418_500"	-4.43781394874282	2862
"G418_500"	-2.86387570130947	1411
"G418_500"	-1.39339520225377	2714
"G418_500"	-2.26021229874556	2735
"G418_500"	-1.71636038834887	15059
"G418_500"	-0.185678349064356	3628
"G418_500"	-0.805146601172475	141
"G418_500"	0.593679717822256	522
"G418_500"	-2.28136680250743	2063
"G418_500"	-2.66661324167638	695
"G418_500"	-1.46153416218295	2492
"G418_500"	-0.718606829015458	948
"G418_500"	-1.79842843001755	1713
"G418_500"	-1.38724642889203	611
"G418_500"	-2.41048153822362	434
"G418_500"	-2.72177918737525	2245
"G418_500"	-3.53888663017318	190
"G418_500"	-3.17128387628083	631
"G418_500"	-1.70211774276579	604
"G418_500"	-1.6066484273457	180
"G418_500"	-0.945108241503929	5391
"G418_500"	-4.76825509773889	113
"G418_500"	-3.73393789460567	366
"G418_500"	-3.01503782650532	2364
"G418_500"	-6.05391687410499	61
"G418_500"	-2.20821348616669	2975
"G418_500"	-0.237514888610971	30
"G418_500"	-2.41109031476219	2134
"G418_500"	-0.11386796455828	4865
"G418_500"	-1.55610763804897	262
"G418_500"	-4.9978515290497	1991
"G418_500"	-2.00411610847223	2032
"G418_500"	0.0716335723645119	951
"G418_500"	-2.10193128188116	2601
"G418_500"	-2.68229558272749	631
"G418_500"	-1.58074614592009	8938
"G418_500"	-3.00739574324583	3430
"G418_500"	-3.67180076886006	291
"G418_500"	0.131626957413262	5697
"G418_500"	-0.227161665484321	1738
"G418_500"	-0.409664376518248	518
"G418_500"	-1.8210298564776	824
"G418_500"	-2.10345270120318	634
"G418_500"	-0.187396622824151	624
"G418_500"	-3.98244160889589	78
"G418_500"	-3.98767826961199	362
"G418_500"	-3.49660662301073	143
"G418_500"	-1.86059694154241	733
"G418_500"	-1.26936742040925	415
"G418_500"	-2.19397536392037	2168
"G418_500"	-3.33480495762984	350
"G418_500"	-0.820470421847863	3038
"G418_500"	-2.4496836386958	6707
"G418_500"	-3.42619499553146	358
"G418_500"	-2.01795068161968	2702
"G418_500"	-6.71271803065594	434
"G418_500"	-0.042435266320397	1639
"G418_500"	1.18551034451669	4484
"G418_500"	-4.59387403059272	352
"G418_500"	-1.94609125417684	849
"G418_500"	-1.64126993909778	5646
"G418_500"	-3.50084187196524	1705
"G418_500"	-4.64232869516857	208
"G418_500"	-0.873039486118924	2936
