"Sample"	"feature"	"used"
"Mock3"	"tunnel_lower_pos_charge"	"FALSE"
"Mock3"	"tunnel_lower_aromatic"	"TRUE"
"Mock3"	"tunnel_lower_polar"	"FALSE"
"Mock3"	"tunnel_lower_nonpolar"	"TRUE"
"Mock3"	"tunnel_lower_v_hydrophobic"	"TRUE"
"Mock3"	"tunnel_lower_hydrophobic"	"TRUE"
"Mock3"	"tunnel_lower_neutral"	"FALSE"
"Mock3"	"tunnel_lower_hydrophilic"	"TRUE"
"Mock3"	"tunnel_central_neg_charge"	"FALSE"
"Mock3"	"tunnel_central_no_charge"	"TRUE"
"Mock3"	"tunnel_central_pos_charge"	"FALSE"
"Mock3"	"tunnel_central_aromatic"	"TRUE"
"Mock3"	"tunnel_central_polar"	"FALSE"
"Mock3"	"tunnel_central_nonpolar"	"FALSE"
"Mock3"	"tunnel_central_v_hydrophobic"	"FALSE"
"Mock3"	"tunnel_central_hydrophobic"	"TRUE"
"Mock3"	"tunnel_central_neutral"	"TRUE"
"Mock3"	"tunnel_central_hydrophilic"	"FALSE"
"Mock3"	"tunnel_constriction_neg_charge"	"FALSE"
"Mock3"	"tunnel_constriction_no_charge"	"TRUE"
"Mock3"	"tunnel_constriction_pos_charge"	"TRUE"
"Mock3"	"tunnel_constriction_aromatic"	"FALSE"
"Mock3"	"tunnel_constriction_polar"	"TRUE"
"Mock3"	"tunnel_constriction_nonpolar"	"FALSE"
"Mock3"	"tunnel_constriction_v_hydrophobic"	"FALSE"
"Mock3"	"tunnel_constriction_hydrophobic"	"FALSE"
"Mock3"	"tunnel_constriction_neutral"	"FALSE"
"Mock3"	"tunnel_constriction_hydrophilic"	"FALSE"
"Mock3"	"tunnel_upper_neg_charge"	"FALSE"
"Mock3"	"tunnel_upper_no_charge"	"FALSE"
"Mock3"	"tunnel_upper_pos_charge"	"FALSE"
"Mock3"	"tunnel_upper_aromatic"	"TRUE"
"Mock3"	"tunnel_upper_polar"	"TRUE"
"Mock3"	"tunnel_upper_nonpolar"	"FALSE"
"Mock3"	"tunnel_upper_v_hydrophobic"	"FALSE"
"Mock3"	"tunnel_upper_hydrophobic"	"TRUE"
"Mock3"	"tunnel_upper_neutral"	"TRUE"
"Mock3"	"tunnel_upper_hydrophilic"	"FALSE"
"Mock3"	"aa_m02"	"FALSE"
"Mock3"	"aa_m01"	"FALSE"
"Mock3"	"nt_m01"	"FALSE"
"Mock3"	"nt_m02"	"FALSE"
"Mock3"	"nt_m03"	"FALSE"
"Mock3"	"nt_m04"	"FALSE"
"Mock3"	"nt_m05"	"FALSE"
"Mock3"	"nt_m06"	"FALSE"
"Mock3"	"nt_m07"	"FALSE"
"Mock3"	"nt_m08"	"FALSE"
"Mock3"	"nt_m09"	"FALSE"
"Mock3"	"nt_m10"	"TRUE"
"Mock3"	"nt_m11"	"FALSE"
"Mock3"	"nt_m12"	"FALSE"
"Mock3"	"nt_m13"	"TRUE"
"Mock3"	"nt_m14"	"TRUE"
"Mock3"	"nt_m15"	"FALSE"
"Mock3"	"nt_m16"	"FALSE"
"Mock3"	"nt_m17"	"TRUE"
"Mock3"	"nt_m18"	"FALSE"
"Mock3"	"stop_codon"	"FALSE"
"Mock3"	"nt_p04"	"FALSE"
"Mock3"	"nt_p05"	"FALSE"
"Mock3"	"nt_p06"	"FALSE"
"Mock3"	"nt_p07"	"FALSE"
"Mock3"	"nt_p08"	"FALSE"
"Mock3"	"nt_p09"	"FALSE"
"Mock3"	"nt_p10"	"FALSE"
"Mock3"	"nt_p11"	"FALSE"
"Mock3"	"nt_p12"	"FALSE"
"Mock3"	"nt_p13"	"TRUE"
"Mock3"	"nt_p14"	"FALSE"
"Mock3"	"nt_p15"	"FALSE"
"Mock3"	"nt_p16"	"FALSE"
"Mock3"	"l_utr3"	"FALSE"
"Mock3"	"random_factor"	"TRUE"
"Mock3"	"random_num"	"TRUE"
"Assay"	"tunnel_lower_neg_charge"	"FALSE"
"Assay"	"tunnel_lower_no_charge"	"FALSE"
"Assay"	"tunnel_lower_pos_charge"	"FALSE"
"Assay"	"tunnel_lower_aromatic"	"FALSE"
"Assay"	"tunnel_lower_polar"	"FALSE"
"Assay"	"tunnel_lower_nonpolar"	"FALSE"
"Assay"	"tunnel_lower_v_hydrophobic"	"FALSE"
"Assay"	"tunnel_lower_hydrophobic"	"FALSE"
"Assay"	"tunnel_lower_neutral"	"FALSE"
"Assay"	"tunnel_lower_hydrophilic"	"FALSE"
"Assay"	"tunnel_central_neg_charge"	"FALSE"
"Assay"	"tunnel_central_no_charge"	"FALSE"
"Assay"	"tunnel_central_pos_charge"	"FALSE"
"Assay"	"tunnel_central_aromatic"	"FALSE"
"Assay"	"tunnel_central_polar"	"FALSE"
"Assay"	"tunnel_central_nonpolar"	"FALSE"
"Assay"	"tunnel_central_v_hydrophobic"	"FALSE"
"Assay"	"tunnel_central_hydrophobic"	"FALSE"
"Assay"	"tunnel_central_neutral"	"FALSE"
"Assay"	"tunnel_central_hydrophilic"	"FALSE"
"Assay"	"tunnel_constriction_neg_charge"	"FALSE"
"Assay"	"tunnel_constriction_no_charge"	"FALSE"
"Assay"	"tunnel_constriction_pos_charge"	"FALSE"
"Assay"	"tunnel_constriction_aromatic"	"FALSE"
"Assay"	"tunnel_constriction_polar"	"FALSE"
"Assay"	"tunnel_constriction_nonpolar"	"FALSE"
"Assay"	"tunnel_constriction_v_hydrophobic"	"FALSE"
"Assay"	"tunnel_constriction_hydrophobic"	"FALSE"
"Assay"	"tunnel_constriction_neutral"	"FALSE"
"Assay"	"tunnel_constriction_hydrophilic"	"FALSE"
"Assay"	"tunnel_upper_neg_charge"	"FALSE"
"Assay"	"tunnel_upper_no_charge"	"FALSE"
"Assay"	"tunnel_upper_pos_charge"	"FALSE"
"Assay"	"tunnel_upper_aromatic"	"FALSE"
"Assay"	"tunnel_upper_polar"	"FALSE"
"Assay"	"tunnel_upper_nonpolar"	"FALSE"
"Assay"	"tunnel_upper_v_hydrophobic"	"FALSE"
"Assay"	"tunnel_upper_hydrophobic"	"FALSE"
"Assay"	"tunnel_upper_neutral"	"FALSE"
